ID,Codigo de grupo,Nombre de grupo,Lider,Avalado,Estado,Calificado,Programa nacional,Programa nacional secundario,Programa tipo
1,COL0021603,"NEUROCIENCIAS DEL CARIBE",PEDRO PUENTES ROZO,2 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
2,COL0183076,"CRS-TID Center for Research and Surveillance of Tropical and Infectious Diseases",JUAN PABLO HERNANDEZ ORTIZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
3,COL0074886,"SINERGIA",NORA ANETH PAVA RIPOLL,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
4,COL0012435,"Grupo de Inmunología y Epidemiología Molecular",CLARA ISABEL GONZALEZ RUGELES,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
5,COL0029147,"Grupo de Investigación en Psiquiatría GIPSI",CARLOS ALBERTO LOPEZ JARAMILLO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
6,COL0004504,"Estrés y Salud",VIVIOLA MELIDA GOMEZ ORTIZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
7,COL0026726,"EPIDEMIOLOGÍA SALUD Y VIOLENCIA",JOSE WILLIAM MARTINEZ,4 de 6,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
8,COL0012097,"Instituto de Investigaciones Biológicas del Tropico",SALIM MATTAR VELILLA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
9,COL0032017,"Salud Pública y Auditoría en Salud",GERMAN JAVIER ARRIETA BERNATE,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
10,COL0016209,"Sistemas Complejos",RAFAEL MARIA GUTIERREZ SALAMANCA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
11,COL0023976,"GRUPO DE INVESTIGACIÓN EN DEMOGRAFIA, SALUD PUBLICA Y SISTEMAS DE SALUD - GUINDESS",MYRIAM RUIZ RODRIGUEZ,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
12,COL0037757,"Grupo de Ciencias Neurovasculares de la Fundación Cardiovascular de Colombia",FEDERICO ARTURO SILVA SIEGER,3 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
13,COL0015409,"Fisicoquimica de Bio y Nanomateriales",RUBEN JESUS CAMARGO AMADO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Investigaciones en Energía y Minería",Salud.
